species	num	location
Acalypha diversifolia	1	p14
Alchornea latifolia	4	p14
Alibertia edulis	2	p14
Alseis blackiana	61	p14
Amaioua corymbosa	1	p14
Andira inermis	2	p14
Annona acuminata	1	p14
Annona spraguei	8	p14
Apeiba membranacea	1	p14
Apeiba tibourbou	3	p14
Astrocaryum standleyanum	4	p14
Bactris major	1	p14
Brosimum alicastrum	4	p14
Calophyllum longifolium	2	p14
Casearia arborea	4	p14
Casearia sylvestris	2	p14
Cassipourea elliptica	5	p14
Cecropia insignis	8	p14
Celtis schippii	6	p14
Cestrum megalophyllum	1	p14
Chrysophyllum argenteum	4	p14
Chrysophyllum cainito	2	p14
Cinnamomum triplinerve	4	p14
Coccoloba manzinellensis	3	p14
Cordia alliodora	9	p14
Cordia bicolor	14	p14
Cordia lasiocalyx	14	p14
Coussarea curvigemmia	34	p14
Croton billbergianus	18	p14
Cupania rufescens	2	p14
Cupania seemannii	23	p14
Desmopsis panamensis	13	p14
Diospyros artanthifolia	2	p14
Dipteryx oleifera	8	p14
Drypetes standleyi	2	p14
Enterolobium schomburgkii	1	p14
Erythroxylum macrophyllum	2	p14
Eugenia coloradoensis	19	p14
Eugenia galalonensis	9	p14
Eugenia oerstediana	4	p14
Faramea occidentalis	46	p14
Garcinia intermedia	29	p14
Genipa americana	1	p14
Guarea bullata	1	p14
Guarea grandifolia	8	p14
Guarea guidonia	9	p14
Guatteria dumetorum	2	p14
Guettarda foliacea	1	p14
Gustavia superba	2	p14
Hasseltia floribunda	4	p14
Heisteria acuminata	1	p14
Heisteria concinna	23	p14
Hirtella americana	3	p14
Hirtella triandra	11	p14
Hura crepitans	1	p14
Hybanthus prunifolius	79	p14
Inga cocleensis	13	p14
Inga marginata	2	p14
Inga pezizifera	2	p14
Inga thibaudiana	7	p14
Inga umbellifera	1	p14
Jacaranda copaia	13	p14
Lacistema aggregatum	2	p14
Lacmellea panamensis	5	p14
Laetia thamnia	6	p14
Lindackeria laurina	1	p14
Lonchocarpus heptaphyllus	4	p14
Luehea seemannii	2	p14
Macrocnemum roseum	1	p14
Maquira guianensis	16	p14
Maytenus schippii	1	p14
Miconia affinis	2	p14
Miconia argentea	11	p14
Miconia elata	1	p14
Miconia nervosa	1	p14
Mosannona garwoodii	3	p14
Mouriri myrtilloides	31	p14
Myrcia gatunensis	1	p14
Nectandra cissiflora	1	p14
Nectandra purpurea	4	p14
Ocotea oblonga	5	p14
Oenocarpus mapora	333	p14
Ouratea lucens	1	p14
Palicourea guianensis	8	p14
Pentagonia macrophylla	3	p14
Picramnia latifolia	2	p14
Piper cordulatum	2	p14
Platymiscium pinnatum	1	p14
Platypodium elegans	2	p14
Posoqueria latifolia	3	p14
Poulsenia armata	1	p14
Pouteria fossicola	3	p14
Pouteria reticulata	10	p14
Pouteria stipitata	5	p14
Protium panamense	50	p14
Protium tenuifolium	44	p14
Pseudobombax septenatum	1	p14
Psychotria horizontalis	2	p14
Psychotria marginata	4	p14
Pterocarpus rohrii	3	p14
Quararibea asterolepis	1	p14
Quassia amara	1	p14
Randia armata	6	p14
Schizolobium parahyba	1	p14
Simarouba amara	5	p14
Sloanea terniflora	2	p14
Socratea exorrhiza	22	p14
Sorocea affinis	11	p14
Spachea membranacea	1	p14
Spondias radlkoferi	3	p14
Stemmadenia grandiflora	2	p14
Sterculia apetala	1	p14
Stylogyne turbacensis	1	p14
Swartzia simplex	23	p14
Symphonia globulifera	1	p14
Tabebuia guayacan	2	p14
Tabebuia rosea	1	p14
Tabernaemontana arborea	19	p14
Tachigali versicolor	8	p14
Tetragastris panamensis	67	p14
Trattinnickia aspera	5	p14
Trichilia tuberculata	12	p14
Trophis racemosa	1	p14
Virola sebifera	32	p14
Virola surinamensis	2	p14
Vochysia ferruginea	4	p14
Xylopia macrantha	1	p14
Zanthoxylum acuminatum	6	p14
Zanthoxylum ekmanii	6	p14
Zuelania guidonia	1	p14
