species	num	location
Abarema macradenia	20	bci
Acacia melanoceras	56	bci
Acalypha diversifolia	2094	bci
Acalypha macrostachya	126	bci
Adelia triloba	602	bci
Aegiphila panamensis	75	bci
Alchornea costaricensis	516	bci
Alchornea latifolia	2	bci
Alibertia edulis	671	bci
Allophylus psilospermus	222	bci
Alseis blackiana	11319	bci
Amaioua corymbosa	27	bci
Anacardium excelsum	33	bci
Anaxagorea panamensis	1310	bci
Andira inermis	336	bci
Annona acuminata	945	bci
Annona spraguei	305	bci
Apeiba membranacea	419	bci
Apeiba tibourbou	71	bci
Aphelandra sinclairiana	16	bci
Appunia seibertii	3	bci
Ardisia bartlettii	10	bci
Ardisia guianensis	34	bci
Ardisia standleyana	208	bci
Aspidosperma spruceanum	604	bci
Astrocaryum standleyanum	189	bci
Astronium graveolens	138	bci
Attalea butyracea	37	bci
Bactris barronis	27	bci
Bactris coloniata	30	bci
Bactris coloradonis	3	bci
Bactris major	644	bci
Banara guianensis	1	bci
Beilschmiedia pendula	3063	bci
Borojoa panamensis	1	bci
Brosimum alicastrum	988	bci
Brosimum guianense	5	bci
Calophyllum longifolium	2273	bci
Capparis frondosa	4458	bci
Casearia aculeata	824	bci
Casearia arborea	204	bci
Casearia commersoniana	29	bci
Casearia guianensis	23	bci
Casearia sylvestris	233	bci
Cassipourea elliptica	1306	bci
Cavanillesia platanifolia	40	bci
Cecropia insignis	1881	bci
Cecropia longipes	26	bci
Cecropia obtusifolia	448	bci
Cedrela odorata	20	bci
Ceiba pentandra	91	bci
Celtis schippii	132	bci
Cespedesia spathulata	130	bci
Cestrum megalophyllum	109	bci
Chamaedorea tepejilote	13	bci
Chamguava schippii	708	bci
Chimarrhis parviflora	4	bci
Chrysochlamys eclipes	752	bci
Chrysophyllum argenteum	1010	bci
Chrysophyllum cainito	240	bci
Cinnamomum triplinerve	168	bci
Clidemia dentata	65	bci
Clidemia octona	35	bci
Clidemia septuplinervia	4	bci
Coccoloba coronata	301	bci
Coccoloba manzinellensis	778	bci
Cojoba rufescens	3	bci
Colubrina glandulosa	7	bci
Conostegia bracteata	17	bci
Conostegia cinnamomea	309	bci
Cordia alliodora	253	bci
Cordia bicolor	1038	bci
Cordia lasiocalyx	1701	bci
Coussarea curvigemmia	3060	bci
Coutarea hexandra	3	bci
Croton billbergianus	1125	bci
Cupania cinerea	12	bci
Cupania latifolia	87	bci
Cupania rufescens	194	bci
Cupania seemannii	2599	bci
Dendropanax arboreus	109	bci
Desmopsis panamensis	15964	bci
Diospyros artanthifolia	130	bci
Dipteryx oleifera	66	bci
Drypetes standleyi	2594	bci
Elaeis oleifera	23	bci
Enterolobium schomburgkii	16	bci
Erythrina costaricensis	136	bci
Erythroxylum macrophyllum	412	bci
Erythroxylum panamense	146	bci
Eugenia coloradoensis	854	bci
Eugenia galalonensis	2643	bci
Eugenia nesiotica	751	bci
Eugenia oerstediana	2782	bci
Faramea occidentalis	32950	bci
Ficus aurea	6	bci
Ficus bullenei	5	bci
Ficus citrifolia	2	bci
Ficus colubrinae	1	bci
Ficus costaricana	18	bci
Ficus insipida	26	bci
Ficus maxima	11	bci
Ficus obtusifolia	11	bci
Ficus pertusa	6	bci
Ficus popenoei	4	bci
Ficus tonduzii	42	bci
Ficus yoponensis	9	bci
Garcinia intermedia	5668	bci
Garcinia madruno	475	bci
Genipa americana	82	bci
Guapira standleyana	197	bci
Guarea bullata	1260	bci
Guarea grandifolia	84	bci
Guarea guidonia	2708	bci
Guatteria dumetorum	1543	bci
Guazuma ulmifolia	128	bci
Guettarda foliacea	637	bci
Gustavia superba	903	bci
Hamelia axillaris	294	bci
Hamelia patens	1	bci
Hampea appendiculata	279	bci
Hasseltia floribunda	839	bci
Heisteria acuminata	119	bci
Heisteria concinna	1042	bci
Herrania purpurea	726	bci
Hieronyma alchorneoides	152	bci
Hirtella americana	32	bci
Hirtella triandra	5843	bci
Hura crepitans	117	bci
Hybanthus prunifolius	49307	bci
Inga acuminata	829	bci
Inga cocleensis	94	bci
Inga goldmanii	461	bci
Inga laurina	93	bci
Inga marginata	1166	bci
Inga mucuna	3	bci
Inga nobilis	816	bci
Inga oerstediana	9	bci
Inga pezizifera	216	bci
Inga punctata	75	bci
Inga ruiziana	26	bci
Inga sapindoides	387	bci
Inga spectabilis	27	bci
Inga thibaudiana	387	bci
Inga umbellifera	1139	bci
Jacaranda copaia	432	bci
Koanophyllon wetmorei	3	bci
Lacistema aggregatum	1927	bci
Lacmellea panamensis	115	bci
Laetia procera	35	bci
Laetia thamnia	647	bci
Lafoensia punicifolia	6	bci
Leandra dichotoma	3	bci
Licania hypoleuca	179	bci
Licania platypus	360	bci
Lindackeria laurina	135	bci
Lonchocarpus heptaphyllus	984	bci
Lozania pittieri	3	bci
Luehea seemannii	361	bci
Maclura tinctoria	1	bci
Macrocnemum roseum	157	bci
Malpighia romeroana	68	bci
Maquira guianensis	1589	bci
Margaritaria nobilis	4	bci
Marila laxiflora	51	bci
Maytenus schippii	118	bci
Miconia affinis	802	bci
Miconia argentea	1355	bci
Miconia dorsiloba	3	bci
Miconia elata	20	bci
Miconia hondurensis	105	bci
Miconia impetiolaris	22	bci
Miconia nervosa	870	bci
Miconia prasina	5	bci
Mosannona garwoodii	600	bci
Mouriri myrtilloides	9516	bci
Myrcia gatunensis	79	bci
Myrospermum frutescens	21	bci
Nectandra cissiflora	458	bci
Nectandra fuzzy	3	bci
Nectandra lineata	359	bci
Nectandra purpurea	147	bci
Neea amplifolia	102	bci
Ochroma pyramidale	16	bci
Ocotea cernua	620	bci
Ocotea oblonga	383	bci
Ocotea puberula	301	bci
Ocotea whitei	732	bci
Oenocarpus mapora	8247	bci
Oreopanax capitatus	1	bci
Ormosia amazonica	2	bci
Ormosia coccinea	126	bci
Ormosia macrocalyx	159	bci
Ouratea lucens	1677	bci
Pachira quinata	1	bci
Pachira sessilis	22	bci
Palicourea guianensis	2577	bci
Pentagonia macrophylla	556	bci
Perebea xanthochyma	266	bci
Picramnia latifolia	1679	bci
Piper aequale	87	bci
Piper arboreum	81	bci
Piper colonense	40	bci
Piper cordulatum	247	bci
Piper imperialis	1	bci
Piper perlasense	51	bci
Piper reticulatum	271	bci
Piper schiedeanum	11	bci
Platymiscium pinnatum	275	bci
Platypodium elegans	161	bci
Posoqueria latifolia	92	bci
Poulsenia armata	1578	bci
Pourouma bicolor	172	bci
Pouteria fossicola	4	bci
Pouteria reticulata	1885	bci
Pouteria stipitata	81	bci
Prioria copaifera	1755	bci
Protium confusum	11	bci
Protium costaricense	1080	bci
Protium panamense	3849	bci
Protium tenuifolium	3900	bci
Pseudobombax septenatum	59	bci
Psidium friedrichsthalianum	79	bci
Psychotria acuminata	35	bci
Psychotria brachiata	4	bci
Psychotria chagrensis	32	bci
Psychotria cyanococca	12	bci
Psychotria deflexa	63	bci
Psychotria graciliflora	144	bci
Psychotria grandis	101	bci
Psychotria hoffmannseggiana	1	bci
Psychotria horizontalis	5690	bci
Psychotria limonensis	189	bci
Psychotria marginata	1307	bci
Psychotria psychotriifolia	1	bci
Psychotria racemosa	11	bci
Psychotria tenuifolia	2	bci
Pterocarpus officinalis	1	bci
Pterocarpus rohrii	1959	bci
Quararibea asterolepis	2722	bci
Quassia amara	207	bci
Randia armata	1244	bci
Rauvolfia littoralis	1	bci
Rinorea sylvatica	3758	bci
Rosenbergiodendron formosum	4	bci
Sapium broadleaf	4	bci
Sapium glandulosum	78	bci
Schizolobium parahyba	22	bci
Senna dariensis	256	bci
Simarouba amara	2414	bci
Siparuna guianensis	76	bci
Siparuna pauciflora	953	bci
Sloanea terniflora	591	bci
Socratea exorrhiza	818	bci
Solanum arboreum	1	bci
Solanum asperum	19	bci
Solanum circinatum	8	bci
Solanum hayesii	135	bci
Solanum steyermarkii	7	bci
Sorocea affinis	3403	bci
Spachea membranacea	23	bci
Spondias mombin	166	bci
Spondias radlkoferi	446	bci
Stemmadenia grandiflora	1	bci
Sterculia apetala	70	bci
Stylogyne turbacensis	1257	bci
Swartzia simplex	6946	bci
Symphonia globulifera	215	bci
Tabebuia guayacan	86	bci
Tabebuia rosea	330	bci
Tabernaemontana arborea	2253	bci
Tachigali versicolor	3361	bci
Talisia croatii	980	bci
Talisia nervosa	828	bci
Terminalia amazonia	86	bci
Terminalia oblonga	113	bci
Ternstroemia tepezapote	1	bci
Tetragastris panamensis	6109	bci
Tetrathylacium johansenii	12	bci
Theobroma cacao	51	bci
Thevetia ahouai	128	bci
Tocoyena pittieri	8	bci
Trattinnickia aspera	96	bci
Trema integerrima	56	bci
Trema micrantha	63	bci
Trichanthera gigantea	11	bci
Trichilia pallida	714	bci
Trichilia tuberculata	15604	bci
Trichospermum galeottii	7	bci
