Species Name,Abundances,Site,Year
Abarema macradenia,1,BCI,1995
Acacia melanoceras,3,BCI,1995
Acalypha diversifolia,2,BCI,1995
Acalypha macrostachya,1,BCI,1995
Adelia triloba,92,BCI,1995
Aegiphila panamensis,23,BCI,1995
Alchornea costaricensis,156,BCI,1995
Alchornea latifolia,1,BCI,1995
Alibertia edulis,1,BCI,1995
Allophylus psilospermus,27,BCI,1995
Alseis blackiana,981,BCI,1995
Amaioua corymbosa,2,BCI,1995
Anacardium excelsum,22,BCI,1995
Andira inermis,28,BCI,1995
Annona acuminata,0,BCI,1995
Annona spraguei,27,BCI,1995
Apeiba 'hybrid',0,BCI,1995
Apeiba membranacea,235,BCI,1995
Apeiba tibourbou,21,BCI,1995
Ardisia fendleri,0,BCI,1995
Aspidosperma spruceanum,51,BCI,1995
Astrocaryum standleyanum,201,BCI,1995
Astronium graveolens,40,BCI,1995
Attalea butyracea,33,BCI,1995
Banara guianensis,1,BCI,1995
Beilschmiedia pendula,295,BCI,1995
Brosimum alicastrum,188,BCI,1995
Brosimum guianense,1,BCI,1995
Calophyllum longifolium,55,BCI,1995
Capparis frondosa,0,BCI,1995
Casearia aculeata,23,BCI,1995
Casearia arborea,101,BCI,1995
Casearia commersoniana,3,BCI,1995
Casearia guianensis,2,BCI,1995
Casearia sylvestris,55,BCI,1995
Cassipourea elliptica,86,BCI,1995
Cavanillesia platanifolia,19,BCI,1995
Cecropia insignis,263,BCI,1995
Cecropia longipes,1,BCI,1995
Cecropia obtusifolia,25,BCI,1995
Cedrela odorata,2,BCI,1995
Ceiba pentandra,39,BCI,1995
Celtis schippii,38,BCI,1995
Cespedesia spathulata,2,BCI,1995
Chamguava schippii,3,BCI,1995
Chimarrhis parviflora,2,BCI,1995
Chrysochlamys eclipes,2,BCI,1995
Chrysophyllum argenteum,86,BCI,1995
Chrysophyllum cainito,25,BCI,1995
Cinnamomum triplinerve,16,BCI,1995
Coccoloba coronata,22,BCI,1995
Coccoloba manzinellensis,13,BCI,1995
Cojoba rufescens,0,BCI,1995
Colubrina glandulosa,1,BCI,1995
Cordia alliodora,63,BCI,1995
Cordia bicolor,326,BCI,1995
Cordia lasiocalyx,364,BCI,1995
Coussarea curvigemmia,55,BCI,1995
Coutarea hexandra,0,BCI,1995
Croton billbergianus,98,BCI,1995
Cupania cinerea,1,BCI,1995
Cupania latifolia,12,BCI,1995
Cupania rufescens,4,BCI,1995
Cupania seemannii,47,BCI,1995
Dendropanax arboreus,87,BCI,1995
Desmopsis panamensis,13,BCI,1995
Diospyros artanthifolia,16,BCI,1995
Dipteryx oleifera,33,BCI,1995
Drypetes standleyi,286,BCI,1995
