species,num,location
Alchornea costaricensis,1,p7
Alseis blackiana,55,p7
Amaioua corymbosa,24,p7
Anacardium excelsum,3,p7
Andira inermis,6,p7
Annona hayesii,18,p7
Annona spraguei,3,p7
Apeiba membranacea,1,p7
Apeiba tibourbou,2,p7
Aphelandra sinclairiana,5,p7
Ardisia standleyana,1,p7
Aspidosperma spruceanum,11,p7
Astrocaryum standleyanum,2,p7
Astronium graveolens,3,p7
Aulomyrcia zetekiana,15,p7
Bactris barronis,1,p7
Bactris coloniata,10,p7
Bactris coloradonis,3,p7
Bactris maraja,1,p7
Bactris panamensis,1,p7
Brosimum alicastrum,1,p7
Brosimum guianense,21,p7
Calophyllum longifolium,2,p7
Casearia arborea,8,p7
Casearia commersoniana,8,p7
Casearia sylvestris,4,p7
Cassipourea elliptica,1,p7
Cecropia insignis,5,p7
Cecropia longipes,1,p7
Cecropia obtusifolia,1,p7
Celtis schippii,7,p7
Chrysophyllum argenteum,1,p7
Cinnamomum triplinerve,1,p7
Clidemia dentata,3,p7
Coccoloba manzinellensis,8,p7
Colubrina glandulosa,1,p7
Copaifera aromatica,3,p7
Cordia alliodora,2,p7
Cordia bicolor,7,p7
Couratari guianensis,5,p7
Coutarea hexandra,1,p7
Croton billbergianus,11,p7
Cupania rufescens,9,p7
Cupania scrobiculata,21,p7
Cupania seemannii,80,p7
Desmopsis panamensis,22,p7
Dipteryx oleifera,2,p7
Enterolobium schomburgkii,3,p7
Erythroxylum macrophyllum,2,p7
Erythroxylum panamense,1,p7
Eugenia coloradoensis,1,p7
Eugenia oerstediana,4,p7
Eugenia sp.10,1,p7
Faramea luteovirens,21,p7
Faramea occidentalis,6,p7
Garcinia madruno,3,p7
Geonoma interrupta,7,p7
Guarea bullata,4,p7
Guarea glabra,3,p7
Guarea guidonia,1,p7
Guatteria amplifolia,1,p7
Gustavia superba,3,p7
Hasseltia floribunda,1,p7
Heisteria acuminata,2,p7
Heisteria concinna,38,p7
Henriettea succosa,2,p7
Hieronyma alchorneoides,8,p7
Hirtella americana,10,p7
Hirtella triandra,12,p7
Hymenaea courbaril,5,p7
Inga cocleensis,19,p7
Inga laurina,6,p7
Inga nobilis,4,p7
Inga pezizifera,14,p7
Inga sapindoides,3,p7
Inga sertulifera,6,p7
Inga spectabilis,1,p7
Inga thibaudiana,3,p7
Jacaranda copaia,19,p7
Jacaratia spinosa,1,p7
Lacistema aggregatum,4,p7
