Date(yyyy-mm-dd hh:mm),prorated rainfall(mm),raw rainfall(mm)
1971-04-07 08:55,2.286,2.286
1971-04-08 08:55,0.000,0.000
1971-04-09 08:55,0.000,0.000
1971-04-10 08:55,0.000,0.000
1971-04-11 08:55,0.000,0.000
1971-04-12 08:55,1.016,1.016
1971-04-13 08:55,0.000,0.000
1971-04-14 08:55,0.000,0.000
1971-04-15 08:55,0.000,0.000
1971-04-16 08:55,0.000,0.000
1971-04-17 08:55,0.000,0.000
1971-04-18 08:55,0.000,0.000
1971-04-19 08:55,0.000,0.000
1971-04-20 08:55,0.000,0.000
1971-04-21 08:55,0.000,0.000
1971-04-22 08:55,0.000,0.000
1971-04-23 08:55,0.000,0.000
1971-04-24 08:55,0.000,0.000
1971-04-25 08:55,0.762,0.762
1971-04-26 08:55,0.762,0.762
1971-04-27 08:55,0.000,0.000
1971-04-28 08:55,1.524,1.524
1971-04-29 08:55,0.000,0.000
1971-04-30 08:55,0.000,0.000
1971-05-01 08:55,0.000,0.000
1971-05-02 08:55,3.810,3.810
1971-05-03 08:55,0.000,0.000
1971-05-04 08:55,0.000,0.000
1971-05-05 08:55,5.080,5.080
1971-05-06 08:55,24.892,24.892
1971-05-07 08:55,111.760,111.760
1971-05-08 08:55,76.200,76.200
1971-05-09 08:55,17.780,17.780
1971-05-10 08:55,93.980,93.980
1971-05-11 08:55,2.794,2.794
1971-05-12 08:55,49.530,49.530
1971-05-13 08:55,23.114,23.114
1971-05-14 08:55,3.302,3.302
1971-05-15 08:55,0.000,0.000
1971-05-16 08:55,59.690,59.690
1971-05-17 08:55,5.334,5.334
1971-05-18 08:55,17.018,17.018
1971-05-19 08:55,22.098,22.098
1971-05-20 08:55,21.590,21.590
1971-05-21 08:55,56.388,56.388
1971-05-22 08:55,0.762,0.762
1971-05-23 08:55,0.381,0.381
1971-05-24 08:55,0.000,0.000
1971-05-25 08:55,1.778,1.778
1971-05-26 08:55,0.000,0.000
1971-05-27 08:55,3.048,3.048
1971-05-28 08:55,1.524,1.524
1971-05-29 08:55,1.860,-9
1971-05-30 08:55,0.266,-9
1971-05-31 08:55,15.146,17.272
1971-06-01 08:55,1.778,1.778
1971-06-02 08:55,1.524,1.524
1971-06-03 08:55,2.032,2.032
1971-06-04 08:55,0.254,0.254
1971-06-05 08:55,0.000,-9
1971-06-06 08:55,26.670,26.670
1971-06-07 08:55,0.000,0.000
1971-06-08 08:55,1.270,1.270
1971-06-09 08:55,2.032,2.032
1971-06-10 08:55,7.112,7.112
1971-06-11 08:55,3.302,3.302
1971-06-12 08:55,14.986,14.986
1971-06-13 08:55,0.000,-9
1971-06-14 08:55,5.588,5.588
1971-06-15 08:55,0.762,0.762
1971-06-16 08:55,1.524,1.524
1971-06-17 08:55,10.160,10.160
1971-06-18 08:55,4.064,4.064
1971-06-19 08:55,0.000,0.000
1971-06-20 08:55,9.398,9.398
1971-06-21 08:55,11.176,11.176
1971-06-22 08:55,1.270,1.270
1971-06-23 08:55,13.208,13.208
1971-06-24 08:55,0.000,0.000
1971-06-25 08:55,23.368,23.368
1971-06-26 08:55,0.000,0.000
1971-06-27 08:55,7.620,7.620
1971-06-28 08:55,2.794,2.794
1971-06-29 08:55,3.810,3.810
1971-06-30 08:55,21.844,21.844
1971-07-01 08:55,12.192,12.192
1971-07-02 08:55,11.176,11.176
1971-07-03 08:55,25.146,25.146
1971-07-04 08:55,0.508,0.508
1971-07-05 08:55,20.320,20.320
1971-07-06 08:55,0.508,0.508
1971-07-07 08:55,16.256,16.256
1971-07-08 08:55,5.080,5.080
1971-07-09 08:55,1.016,1.016
1971-07-10 08:55,0.000,0.000
1971-07-11 08:55,1.016,1.016
1971-07-12 08:55,13.208,13.208
1971-07-13 08:55,38.100,38.100
1971-07-14 08:55,2.032,2.032
1971-07-15 08:55,3.302,3.302
1971-07-16 08:55,0.000,0.000
1971-07-17 08:55,8.351,-9
1971-07-18 08:55,1.044,-9
1971-07-19 08:55,21.085,30.480
1971-07-20 08:55,6.096,6.096
1971-07-21 08:55,7.112,7.112
1971-07-22 08:55,14.224,14.224
1971-07-23 08:55,0.000,0.000
1971-07-24 08:55,39.878,39.878
1971-07-25 08:55,0.508,0.508
1971-07-26 08:55,5.588,5.588
1971-07-27 08:55,4.826,4.826
1971-07-28 08:55,1.016,1.016
1971-07-29 08:55,0.254,0.254
1971-07-30 08:55,9.652,9.652
1971-07-31 08:55,10.668,10.668
1971-08-01 08:55,0.254,0.254
1971-08-02 08:55,14.224,14.224
1971-08-03 08:55,12.192,12.192
1971-08-04 08:55,45.720,45.720
1971-08-05 08:55,4.318,4.318
1971-08-06 08:55,4.572,4.572
1971-08-07 08:55,4.826,4.826
1971-08-08 08:55,0.508,0.508
1971-08-09 08:55,3.302,3.302
1971-08-10 08:55,9.398,9.398
1971-08-11 08:55,2.286,2.286
1971-08-12 08:55,2.286,2.286
1971-08-13 08:55,0.000,0.000
1971-08-14 08:55,31.115,-9
1971-08-15 08:55,0.635,-9
1971-08-16 08:55,0.000,31.750
1971-08-17 08:55,0.000,0.000
1971-08-18 08:55,0.000,0.000
1971-08-19 08:55,1.016,1.016
1971-08-20 08:55,33.258,-9
1971-08-21 08:55,17.977,-9
1971-08-22 08:55,10.487,61.722
1971-08-23 08:55,0.254,0.254
1971-08-24 08:55,0.000,0.000
1971-08-25 08:55,7.874,7.874
1971-08-26 08:55,19.304,19.304
1971-08-27 08:55,2.794,2.794
1971-08-28 08:55,54.807,-9
1971-08-29 08:55,2.851,57.658
