datetime(yyyy-mm-dd hh:mm),Rel. Hum. (%)
1971-08-02 12:00,84.0
1971-08-03 12:00,92.0
1971-08-05 12:00,84.0
1971-08-06 12:00,76.0
1971-08-09 12:00,77.0
1971-08-10 12:00,99.0
1971-08-11 12:00,73.0
1971-08-12 12:00,80.0
1971-08-13 12:00,94.0
1971-08-16 12:00,71.0
1971-08-17 12:00,71.0
1971-08-18 12:00,76.0
1971-08-19 12:00,97.0
1971-08-23 12:00,80.0
1971-08-24 12:00,81.0
1971-08-25 12:00,70.0
1971-08-26 12:00,99.0
1971-08-30 12:00,74.0
1971-08-31 12:00,74.0
1971-09-01 12:00,77.0
1971-09-02 12:00,97.0
1971-09-07 12:00,72.0
1971-09-08 12:00,66.0
1971-09-09 12:00,82.0
1971-09-10 12:00,76.0
1971-09-13 12:00,78.0
1971-09-14 12:00,89.0
1971-09-15 12:00,69.0
1971-09-16 12:00,67.0
1971-09-17 12:00,77.0
1971-09-20 12:00,76.0
1971-09-21 12:00,98.0
1971-09-22 12:00,78.0
1971-09-23 12:00,72.0
1971-09-24 12:00,98.0
1971-09-25 12:00,75.0
1971-09-29 12:00,80.0
1971-09-30 12:00,68.0
1971-10-01 12:00,67.0
1971-10-02 12:00,79.0
1971-10-04 12:00,79.0
1971-10-06 12:00,68.0
1971-10-07 12:00,70.0
1971-10-08 12:00,81.0
1971-10-09 12:00,84.0
1971-10-12 12:00,62.0
1971-10-13 12:00,78.0
1971-10-14 12:00,88.0
1971-10-18 12:00,75.0
1971-10-19 12:00,70.0
1971-10-20 12:00,69.0
1971-10-21 12:00,70.0
1971-10-22 12:00,75.0
1971-10-26 12:00,79.0
1971-10-27 12:00,72.0
1971-10-28 12:00,75.0
1971-10-29 12:00,78.0
1971-11-01 12:00,83.0
1971-11-02 12:00,75.0
1971-11-04 12:00,77.0
1971-11-05 12:00,71.0
1971-11-08 12:00,94.0
1971-11-09 12:00,88.0
1971-11-10 12:00,93.0
1971-11-11 12:00,92.0
1971-11-12 12:00,69.0
1971-11-15 12:00,77.0
1971-11-16 12:00,87.0
1971-11-17 12:00,98.0
1971-11-18 12:00,79.0
1971-11-19 12:00,71.0
1971-11-22 12:00,72.0
1971-11-23 12:00,75.0
1971-11-24 12:00,73.0
1971-11-26 12:00,92.0
1971-11-29 12:00,85.0
1971-11-30 12:00,66.0
1971-12-01 12:00,87.0
1971-12-02 12:00,73.0
1971-12-03 12:00,75.0
1971-12-06 12:00,72.0
1971-12-07 12:00,70.0
1971-12-08 12:00,74.0
1971-12-09 12:00,85.0
1971-12-10 12:00,65.0
1971-12-13 12:00,64.0
1971-12-14 12:00,71.0
1971-12-16 12:00,78.0
1971-12-17 12:00,70.0
1971-12-20 12:00,61.0
1971-12-21 12:00,63.0
1971-12-22 12:00,67.0
1971-12-23 12:00,62.0
1971-12-27 12:00,66.0
1971-12-28 12:00,66.0
1971-12-29 12:00,77.0
1971-12-30 12:00,77.0
1972-01-03 12:00,82.0
1972-01-04 12:00,78.0
1972-01-05 12:00,91.0
1972-01-06 12:00,93.0
1972-01-07 12:00,98.0
1972-01-10 12:00,77.0
1972-01-11 12:00,88.0
1972-01-12 12:00,82.0
1972-01-13 12:00,75.0
1972-01-14 12:00,96.0
1972-01-18 12:00,89.0
1972-01-19 12:00,72.0
1972-01-20 12:00,80.0
1972-01-21 12:00,72.0
1972-01-24 12:00,63.0
1972-01-25 12:00,69.0
1972-01-26 12:00,65.0
1972-01-27 12:00,66.0
1972-01-28 12:00,67.0
1972-01-31 12:00,76.0
1972-02-01 12:00,75.0
