species	num	location
Abarema barbouriana	6	p9
Alchornea latifolia	19	p9
Amaioua corymbosa	2	p9
Andira inermis	7	p9
Apeiba membranacea	4	p9
Apeiba tibourbou	4	p9
Ardisia bartlettii	1	p9
Aspidosperma spruceanum	13	p9
Astrocaryum standleyanum	1	p9
Aulomyrcia zetekiana	5	p9
Bactris coloniata	18	p9
Bactris coloradonis	14	p9
Bactris major	1	p9
Bactris maraja	1	p9
Beilschmiedia pendula	6	p9
Brosimum alicastrum	2	p9
Brosimum costaricanum	1	p9
Brosimum guianense	36	p9
Calophyllum longifolium	6	p9
Casearia commersoniana	3	p9
Casearia sylvestris	5	p9
Cassipourea elliptica	6	p9
Cecropia insignis	6	p9
Cespedesia spathulata	5	p9
Chrysochlamys eclipes	3	p9
Chrysophyllum argenteum	4	p9
Chrysophyllum hirsutum	10	p9
Cinnamomum triplinerve	8	p9
Clavija costaricana	1	p9
Coccoloba manzinellensis	16	p9
Cordia bicolor	8	p9
Couratari guianensis	6	p9
Crossopetalum parviflorum	2	p9
Croton billbergianus	3	p9
Cupania seemannii	1	p9
Dendropanax arboreus	14	p9
Desmopsis panamensis	107	p9
Diospyros artanthifolia	2	p9
Dipteryx oleifera	1	p9
Erisma blancoa	2	p9
Erythroxylum citrifolium	2	p9
Erythroxylum macrophyllum	3	p9
Eschweilera pittieri	7	p9
Faramea luteovirens	16	p9
Ficus apollinaris	2	p9
Ficus obtusifolia	3	p9
Garcinia madruno	4	p9
Geonoma cuneata	4	p9
Guatteria amplifolia	7	p9
Guatteria dumetorum	2	p9
Guettarda foliacea	1	p9
Guettarda ramuliflora	1	p9
Hampea appendiculata	2	p9
Heisteria acuminata	9	p9
Heisteria concinna	66	p9
Herrania nycterodendron	2	p9
Hirtella americana	1	p9
Hirtella triandra	2	p9
Humiriastrum diguense	2	p9
Hymenolobium mesoamericanum	1	p9
Inga cocleensis	3	p9
Inga laurina	1	p9
Inga pezizifera	5	p9
Inga sertulifera	1	p9
Inga thibaudiana	2	p9
Jacaranda copaia	4	p9
Jacaratia spinosa	1	p9
Lacistema aggregatum	4	p9
Lacmellea panamensis	2	p9
Laetia procera	1	p9
Laetia thamnia	7	p9
Licania hypoleuca	20	p9
Lonchocarpus heptaphyllus	11	p9
Lozania pittieri	1	p9
Mabea occidentalis	7	p9
Maquira guianensis	8	p9
Maranthes panamensis	24	p9
Marila laxiflora	1	p9
Matayba apetala	7	p9
Maytenus schippii	1	p9
Miconia simplex	1	p9
Mollinedia darienensis	1	p9
Mosquitoxylum jamaicense	21	p9
Myrciaria sp.2	1	p9
Nectandra cissiflora	2	p9
Nectandra cuspidata	1	p9
Nectandra purpurea	9	p9
Neea amplifolia	1	p9
Neea delicatula	10	p9
Ocotea dendrodaphne	7	p9
Ocotea oblonga	1	p9
Ocotea puberula	4	p9
Ocotea whitei	10	p9
Oenocarpus mapora	187	p9
Oxandra longipetala	72	p9
Pachira sessilis	8	p9
Palicourea guianensis	3	p9
Pentagonia macrophylla	7	p9
Pera arborea	4	p9
Perebea xanthochyma	14	p9
Piper aequale	1	p9
Piper augustum	2	p9
Piper colonense	1	p9
Piper cordulatum	1	p9
Piper sp.6	1	p9
Poulsenia armata	8	p9
Pourouma bicolor	25	p9
Pouteria campechiana	8	p9
Pouteria reticulata	1	p9
Pouteria torta	9	p9
Protium panamense	27	p9
Protium tenuifolium	3	p9
Pseudobombax septenatum	1	p9
Pseudolmedia spuria	7	p9
Psychotria calophylla	2	p9
Psychotria grandis	3	p9
Pterocarpus rohrii	2	p9
Quassia amara	2	p9
Sapium broadleaf	2	p9
Schefflera morototoni	2	p9
Simarouba amara	7	p9
Sloanea terniflora	1	p9
Socratea exorrhiza	90	p9
Solanum hayesii	1	p9
Sorocea affinis	26	p9
Swartzia simplex	6	p9
Symphonia globulifera	3	p9
Synechanthus warscewiczianus	81	p9
Tabebuia guayacan	3	p9
Tachigali versicolor	22	p9
Talisia nervosa	14	p9
Tapirira guianensis	56	p9
Terminalia amazonia	1	p9
Tetragastris panamensis	16	p9
Tocoyena pittieri	1	p9
Tovomita stylosa	11	p9
Trattinnickia aspera	11	p9
Trichospermum galeottii	11	p9
Turpinia occidentalis	2	p9
Unidentified sp.4	3	p9
Unidentified sp.5	2	p9
Unonopsis sp.1	8	p9
Vantanea depleta	10	p9
Vatairea erythrocarpa	4	p9
Virola multiflora	32	p9
Virola sebifera	39	p9
Virola surinamensis	5	p9
Vismia baccifera	1	p9
Vochysia ferruginea	1	p9
Welfia regia	8	p9
Xylopia frutescens	3	p9
Xylopia macrantha	17	p9
Zanthoxylum acuminatum	1	p9
Zanthoxylum ekmanii	1	p9
Zanthoxylum panamense	1	p9
